adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,titleRestaurant
"Divan Yolu Caddesi No: 27 Fatih, Sultanahmet, İstanbul 34112 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Türk,Sağlıklı","Akdeniz, Türk, Sağlıklı, Ortadoğu",593 yorum,+90 538 093 58 85,₺10 - ₺250,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Loti Cafe & Roof Lounge
"Cankurtaran mahallesi Akbıyık Caddesi Adliye sokak no:2, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Uluslararası,Akdeniz,Barbekü","Uluslararası, Akdeniz, Barbekü, Türk, Ortadoğu",261 yorum,+90 532 419 57 47,₺30 - ₺130,"5,0","Vegan Seçenekleri, Helal",Köşk 1981 Cafe & Restaurant
"Piyerloti Caddesi No: 34 Sultanahmet, İstanbul 34126 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Avrupa,Türk","Akdeniz, Türk, Avrupa, Sağlıklı, Ortadoğu, Çorbalar",1.125 yorum,+90 212 517 99 29,₺25 - ₺161,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Mivan Restaurant Cafe
"Cankurtaran Mah. Akbıyık Cad. Adliye sok. No:11/A, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,İtalyan,Biftek Restoranı,Deniz Mahsülleri","İtalyan, Biftek Restoranı, Deniz Mahsülleri, Akdeniz, Türk, Sağlıklı",770 yorum,+90 531 985 66 21,₺63 - ₺155,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Divella Bistro Restaurant
"Hocapaşa mah . Darüssaade Sokak No 10 Sirkeci Fatih İstanbul, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Sağlıklı, Mangal",284 yorum,+90 534 280 30 34,₺56 - ₺106,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Last Ottoman Cafe & Restaurant
"Kutlugun Sokak No:4 Cankurtaran Mah., İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk, Sağlıklı, Katalan",582 yorum,+90 212 516 44 01,₺17 - ₺1.700,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",By Kinyas Restaurant
"küçükayasofya mahhalesi kaleci sokak no 5 Fatih, İstanbul Türkiye,İnternet sitesi,Menü","$$-$$$,Kafe,Deniz Mahsülleri,Akdeniz","Kafe, Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Sağlıklı, Ortadoğu, Orta Asya",1.037 yorum,+90 212 516 16 04,₺56 - ₺106,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Three Partners Cafe & Restaurant
"Hocapaşa Mah. Hocapaşa Camii Sok. No: 15/A Fatih-Sirkeci, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Barbekü,Türk,Sağlıklı","Barbekü, Türk, Sağlıklı, Ortadoğu",1.293 yorum,+90 212 512 11 50,₺30 - ₺50,"5,0","Vejetaryen Dostu, Helal",Ziya Şark Sofrası
"Alemdar Mah. Nuruosmaniye Cad. No: 7 Sultanahmet, İstanbul 34440 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Sağlıklı,Vegan Seçenekleri","Deniz Mahsülleri, Sağlıklı",4.065 yorum,+90 212 513 74 24,₺71 - ₺212,"5,0","Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Buhara Ocakbaşı Restaurant
"Mimar Mehmet Ağa Caddesi No 33/1, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Türk, Akdeniz, Barbekü, Sağlıklı",350 yorum,+90 545 807 43 72,₺18 - ₺250,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Rainbow Fish & Meat Restaurant
