titleRestaurant,adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,average_price,price_min
Beta Yeni Han,"Hasircilar Cad. No:23 Tahtakale Mahallesi, İstanbul 34116 Türkiye,İnternet sitesi",Türk,Türk,16,+90 322 363 53 43,10-10000,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",5005.0,5005.0
Kubbeli Salon,"Meşrutiyet Caddesi No: 52 Talimhane, İstanbul 34110 Türkiye,İnternet sitesi",no input,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",307,+90 539 616 38 20,851-8863,5.0,"Dışarı Yemek Servisi, Paket Yemek, Açık Havada Oturma, Özel Yemek, Oturma, Otopark Var, Cadde Üzerinde Park, Ücretsiz Yol Üstü Olmayan Park Yeri, Televizyon, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Tüm İçkiler, Şarap ve Bira, Ücretsiz Wifi, Kredi Kartı Geçerli, Masaya Servis",4857.0,4857.0
Aksu Restaurant,"Mesih Pasa Mah Azimkar Sokak No 5 Fatih/Aksaray, İstanbul 34130 Türkiye,İnternet sitesi","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Ortadoğu, Rus",101,+90 212 518 52 69,355-3545,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",1950.0,1950.0
Blu Matto,"Zeytinlik Mahallesi, Rauf Orbay Caddesi Ataköy Marina Park, C 16, No: 1, İstanbul 34158 Türkiye,İnternet sitesi,Menü","İtalyan,Meksika,Bar","İtalyan, Meksika, Bar, Deniz Mahsülleri, Türk, Bar",2,+90 212 559 60 61,5-2750,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",1377.5,1377.5
The 47 Bar,"Çırağan Caddesi, 32, İstanbul 34349 Türkiye,İnternet sitesi,Menü","Bar,Bar","Bar, Bar",26,+90 212 236 73 33,45-2650,5.0,"Akşam Yemeği, Gece Eğlencesi, İçecekler",1347.5,1347.5
Ararat Terrace Restaurant,"Torun Sok. No:3 Sultanahmet Fatih, İstanbul 34400 Türkiye,İnternet sitesi",Türk,Türk,1151,+90 530 014 78 85,7-2500,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",1253.5,1253.5
Beyzade Bira Evi,"Barbaros Hayrettinpaşa Mahallesi, Eski Edirne Asf. No: 254/A, İstanbul 34250 Türkiye,İnternet sitesi,Menü","Bar,Barbekü,Mangal","Bar, Mangal, Barbekü, Lokanta, Şarap Barı",1,+90 212 537 24 72,106-1773,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",939.5,939.5
By Kinyas Restaurant,"Kutlugun Sokak No:4 Cankurtaran Mah., İstanbul 34122 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk, Sağlıklı, Katalan",581,+90 212 516 44 01,17-1701,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",859.0,859.0
Ast Terrace Restaurant Cafe,"Kucuk Ayasofya Mahallesi, Kadirga Liman Caddesi, No:137 Ast Hotel, İstanbul 34122 Türkiye,İnternet sitesi","Uluslararası,Akdeniz,Ortadoğu","Ortadoğu, Uluslararası, Akdeniz",287,+90 536 369 22 74,106-1560,5.0,Helal,833.0,833.0
İstanbul Enjoyer Cafe & Restaurant,"Alemdar Mahallesi, Divanyolu Cad. Ticarethane Sok. No: 19 Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi","Kafe,Deniz Mahsülleri,Akdeniz","Kafe, Akdeniz, Türk, Deniz Mahsülleri, Barbekü",2,+90 532 053 62 84,319-1028,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",673.5,673.5
Terrace Marmara Restaurant,"Cankurtaran Mahallesi Seyit Hasan Sokak No 5 No:3, İstanbul 24000 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Barbekü","Türk, Deniz Mahsülleri, Akdeniz, Barbekü, Avrupa, Mangal, Şarap Barı, Ortadoğu",183,+90 535 742 77 40,319-794,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",556.5,556.5
Le Baron,"Levazım Mah. Koru Sok. N.2 / 293 Zorlu Center, İstanbul 34340 Türkiye,İnternet sitesi,Menü","Japon,Uluslararası,Suşi","Japon, Uluslararası, Suşi, Bar, Füzyon",52,+90 212 353 66 61,100-1000,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",550.0,550.0
Cafe Swiss,"Vişnezade Mahallesi, Acısu Sok. No: 19 Beşiktaş, Swissotel The Bosphorus, İstanbul 34357 Türkiye,İnternet sitesi,Menü","Uluslararası,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",88,+90 212 326 11 00,,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",542.5,542.5
Foodie-Ist Cafe Brasserie,"Yerebatan Caddesi No 13 Alemdar Mahallesi, İstanbul 34093 Türkiye,İnternet sitesi","İtalyan,Meksika,Akdeniz","İtalyan, Sağlıklı, Meksika, Akdeniz, Türk",56,+90 212 522 44 21,213-851,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",532.0,532.0
Kadim Steakhouse,"Halkalı Merkez Mah. 1. Posta Sk. No: 6/1 Küçükçekmece, Küçükçekmece Belediyesi Karşısı, İstanbul Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Türk,Mangal","Kahvaltı, Öğle Yemeği, Akşam Yemeği",19,+90 212 697 69 69,,5.0,"Rezervasyonlar, Açık Havada Oturma, Oturma, Cadde Üzerinde Park, Bebek Sandalyesi Var, Kredi Kartı Geçerli",496.5,496.5
Blue House Hotel Terrace Restaurant,"Cankurtaran Dalbastı Sokak No:14, İstanbul 34122 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk,Yunan","Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",9,+90 212 638 90 10,,5.0,"Paket Yemek, Rezervasyonlar, Oturma, Alkol Var, Tüm İçkiler, Şarap ve Bira, Dijital Ödemeler, Ücretsiz Wifi, Kredi Kartı Geçerli, Masaya Servis, Aile tarzı, Sigara içilmeyen restoranlar",443.0,443.0
Çuvalcıoğlu Restaurant,"Abdurrahman Gazi Mah. Belediye Cad. No: 1/C Sultanbeyli, İstanbul 34920 Türkiye,İnternet sitesi",Türk,"Öğle Yemeği, Akşam Yemeği",5,+90 216 498 61 10,,5.0,"Açık Havada Oturma, Oturma, Televizyon, Sadece Nakit, Kredi Kartı Geçerli, Masaya Servis, Aile tarzı",443.0,443.0
Huqqabaz Büyükçekmece,"Gazi Mustafa Caddesi, İstanbul 34500 Türkiye,İnternet sitesi,Menü","Meksika,Amerikan,Akdeniz","Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",511,+90 530 524 91 04,,5.0,"Açık Havada Oturma, Özel Yemek, Oturma, Otopark Var, Cadde Üzerinde Park, İndirimli Park Hizmeti, Vale Otopark, Ücretsiz Yol Üstü Olmayan Park Yeri, Televizyon, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Ücretsiz Wifi, Kredi Kartı Geçerli, Masaya Servis, Oyun alanları, Aile tarzı, Spor karşılaşmalarının izlenebildiği barlar",425.5,425.5
Turk Fatih Tutak,"Cumhuriyet Hacıahmet Silahşör Cad, Yeniyol Sk. No:2 Şişli, İstanbul 34440 Türkiye,İnternet sitesi",Türk,Türk,10,+90 212 709 56 79,350-500,5.0,Akşam Yemeği,425.0,425.0
İstikamet Karakoy,"Kemankeş mah Mumhane cad Fransız Geçidi iş Merkezi no 28 A Karaköy Beyoğlu, İstanbul 34425 Türkiye,İnternet sitesi","Türk,Sağlıklı","Sağlıklı, Türk",13,+90 212 244 11 81,213-532,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",372.5,372.5
Roof Mezze 360,"Hoca Paşa Mahallesi, Hüdavendigar Caddesi No: 25 Sirkeci, Seres Old City, İstanbul 34112 Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Ortadoğu",1708,+90 536 418 50 25,100-550,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",325.0,325.0
Serafina Kanyon,"Büyükdere Caddesi 185 Kanyon AVM Kat:1, İstanbul 34394 Türkiye,İnternet sitesi",İtalyan,İtalyan,2,+90 212 353 00 11,150-500,5.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",325.0,325.0
Mentha Nova,"İstiklal Caddesi No:201 Ravouna 1906 Suites Terası, İstanbul 34433 Türkiye,İnternet sitesi",Yemekli barlar,Yemekli barlar,2,+90 530 928 86 63,213-425,5.0,"Akşam Yemeği, Gece Eğlencesi, İçecekler",319.0,319.0
Turk Art Terrace Restaurant,"Cankurtaran Mahallesi, Tevkifhane Sokak No: 12 Fatih, Turk Art Hotel, Four Seasons Hotel Karşısı, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Türk,Vejetaryen Dostu","Türk, Deniz Mahsülleri",1635,+90 530 562 44 21,21-600,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",310.5,310.5
Keyfi Cadde,"Caddebostan Plaj Yolu Sk 37/A Cevdetbey apt. 37/A, İstanbul 34728 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk, Sağlıklı, Şarap Barı",6,+90 216 771 00 22,128-425,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",276.5,276.5
Gümüş Yalı Balıkçısı,"Toplarönü Sokak No:2 Anadoluhisarı Mahallesi, İstanbul 34810 Türkiye,İnternet sitesi,Menü","Fransız,Avrupa,Türk","Fransız, Avrupa, Türk, Norveç",11,+90 532 015 67 88,50-500,5.0,"Öğle Yemeği, Akşam Yemeği",275.0,275.0
Balat Meze,"Ayvansaray Mah. Ayvansaray Kuyusu Sok. No. 8, İstanbul 34087 Türkiye,İnternet sitesi","Akdeniz,Türk,Yemekli barlar","Türk, Yemekli barlar, Akdeniz",6,+90 554 167 70 06,200-350,5.0,"Akşam Yemeği, İçecekler",275.0,275.0
Moise Karakoy,"Felek Sokak No.2 Bereketzade Mah., İstanbul 34421 Türkiye,İnternet sitesi","Uluslararası,Akdeniz,Barbekü","Barbekü, Türk, Uluslararası, Akdeniz, Ortadoğu",56,+90 212 512 18 18,102-425,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",263.5,263.5
İkonium Etiler,"Nispetiye Caddesi No: 28 Etiler, İstanbul Türkiye,İnternet sitesi","Türk,Vejetaryen Dostu,Vegan Seçenekleri","Helal, Vejetaryen Dostu, Vegan Seçenekleri",210,+90 532 295 72 95,,5.0,"Öğle Yemeği, Akşam Yemeği",255.0,255.0
Ephesus Teras Restoran,"Mesih Paşa, Aksaray Cd. No 24 Hotel Ephesus, İstanbul 34480 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Deniz Mahsülleri,Uluslararası","Türk, Biftek Restoranı, Deniz Mahsülleri, Uluslararası, Barbekü",1410,+90 531 244 16 88,50-450,5.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",250.0,250.0
Symbol Fal Cafe - Beşiktaş,"Ihlamurdere Cad. Yaverağa Sok. No: 3 Besiktas Merkez, Besiktas, İstanbul 34357 Türkiye,İnternet sitesi,Menü","İtalyan,Akdeniz,Türk","İtalyan, Akdeniz, Türk",15,+90 212 327 40 30,142-355,5.0,"Kahvaltı, Brunch, İçecekler, Öğle Yemeği, Akşam Yemeği",248.5,248.5
Symbol Fal Cafe,"Bağdat Caddesi No: 376/2 Çamlık Apt. Şaşkınbakkal, Kadıköy, İstanbul 34740 Türkiye,İnternet sitesi,Menü","İtalyan,Akdeniz","Akdeniz, İtalyan",1,+90 216 355 73 03,142-355,5.0,"Kahvaltı, Brunch, İçecekler, Öğle Yemeği, Akşam Yemeği",248.5,248.5
Zeferan Restaurant,"Piyer Loti Cad. No: 30 Emin Sinan Mah. Ajwa Hotel, 8.kat, İstanbul 34126 Türkiye,İnternet sitesi,Menü","Uluslararası,Azerbaycan,Vejetaryen Dostu","Azerbaycan, Uluslararası",171,+90 212 638 22 12,153-340,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",246.5,246.5
Octo,"Kemankeş Karamustafa Paşa Mah. Kemankeş Cad. No:49 Karaköy, Beyoğlu, İstanbul 34425 Türkiye,İnternet sitesi","Deniz Mahsülleri,Avrupa,Türk","Deniz Mahsülleri, Avrupa, Türk, Portekiz",17,+90 212 806 40 40,50-400,5.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",225.0,225.0
Myterrace Cafe & Restaurant,"Küçük Ayasofya Mah. Şehit Mehmetpaşa Ykş. No: 9 Fatih, Sultanahmet, İstanbul Türkiye,İnternet sitesi","Kafe,Akdeniz,Avrupa","Kafe, Akdeniz, Avrupa, Türk, Ortadoğu",571,+90 535 931 88 17,71-355,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",213.0,213.0
Şehzade Turkish Kithcen,"Küçük Ayasofya Mh., Küçük Ayasofya Cd. No:9 Sultanahmet camii yanı, İstanbul 34122 Türkiye,İnternet sitesi","Türk,Helal",Türk,183,+90 212 516 00 88,71-355,5.0,Helal,213.0,213.0
Ace Restaurant & Lounge,"Büyükdere Cad. No: 161 Levent, Zincirlikuyu, Avantgarde Levent Hotel, İstanbul 34394 Türkiye,İnternet sitesi,Menü","Uluslararası,Türk,Vejetaryen Dostu","Türk, Uluslararası",37,+90 212 337 04 44,85-340,5.0,Vejetaryen Dostu,212.5,212.5
İstanbul Wok and Sushi,"Basa Sokak No:4 Nispetiye Mahallesi, İstanbul 34340 Türkiye,İnternet sitesi,Menü","Çin,Japon","Çin, Japon",3,+90 212 351 81 81,25-400,5.0,"Öğle Yemeği, Akşam Yemeği",212.5,212.5
Ti Amo Bistro &Cafe,"Saffetipaşa Sokak. No:10 Hocapasa, İstanbul 34110 Türkiye,İnternet sitesi","Biftek Restoranı,Deniz Mahsülleri,Akdeniz","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Biftek Restoranı, Sağlıklı",254,+90 551 394 03 08,9-400,5.0,Vejetaryen Dostu,204.5,204.5
Behzadem Cafe & Restaurant,"Balabanağa Mahallesi, Büyükreşitpaşa Caddesi, No 10 Vezneciler Metro Durağı, İstanbul 34134 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Türk, Barbekü, Sağlıklı, Ortadoğu",106,+90 530 600 47 55,14-390,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",202.0,202.0
The Twins Kitchen by MR,"Görele Mahallesi Fatih Sultan Mehmet Cd. No:53/B Beykoz, İstanbul 34829 Türkiye,İnternet sitesi","Uluslararası,Avrupa","Uluslararası, Avrupa",1,+90 216 485 19 10,100-300,5.0,"Öğle Yemeği, Akşam Yemeği",200.0,200.0
Meat'ng Steakhouse,"Zeytinoğlu Cad. 67/1 Akatlar Mah., İstanbul 34335 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Uluslararası,Türk","Biftek Restoranı, Uluslararası, Türk, Mangal, Lokanta",11,+90 212 351 62 00,9-385,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",197.0,197.0
Restaurant Mabou,"General Yazgan Sk No 8 Asmali Mescit Mahallesi, İstanbul 34430 Türkiye,İnternet sitesi,Menü","İtalyan,Fransız,Akdeniz","İtalyan, Fransız, Akdeniz, Türk",46,+90 212 252 47 53,35-355,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",195.0,195.0
Falls in Galata Tophane,"Lüleci Hendek Caddesi, İstanbul 34425 Türkiye,İnternet sitesi",Türk,Türk,16,+90 212 243 21 23,106-284,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",195.0,195.0
Meze Moda,"Nene Hatun Sk. Kadıköy, Moda, Atlas Apt. D3, İstanbul 34710 Türkiye,İnternet sitesi","Sağlıklı,Vejetaryen Dostu",Sağlıklı,1,+90 533 650 63 21,106-284,5.0,Vejetaryen Dostu,195.0,195.0
Alta Nişantaşı,"Süleyman Nazif Sok No: 5/2 Halaskargazi Mahallesi, Nişantaşı, İstanbul 34371 Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Türk, Şarap Barı, Avrupa, Gastropub",96,+90 212 234 00 84,135-245,5.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",190.0,190.0
MyBread Restaurant Zeytinburnu,"Topkapı Merkez Evleri No:94/A-C , Cevizlibağ, İstanbul 34015 Türkiye,İnternet sitesi","Uluslararası,Akdeniz,Türk","Uluslararası, Akdeniz, Türk",1,0902124164440,71-284,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",177.5,177.5
Cihangir Faik Paşa Cafe,"Firuzağa Mah. Faik Paşa Cad. No: 41-45 Beyoğlu, İstanbul 34425 Türkiye,İnternet sitesi","Pizza,Kafe,Uluslararası","Türk, Pizza, Kafe, Uluslararası, Çağdaş",85,+90 212 244 43 43,128-213,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",170.5,170.5
Balatkapı,"Yıldırım Caddesi No:61/A Balat Mah., İstanbul 34087 Türkiye,İnternet sitesi",Türk,Türk,120,+90 505 000 44 40,71-269,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",170.0,170.0
Nur Muhammad Lokantası,"Alemdar Mh.Prof Dr İsmail Gürkan Cd No:6, İstanbul 34110 Türkiye,İnternet sitesi",no input,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",8,+90 212 531 28 52,14-319,5.0,Rezervasyonlar,166.5,166.5
A'pera Cafe & Brasserie,"Asmalı Mescit Mah. Nergis Sok. No: 8/1 İstiklal, Beyoğlu, İstanbul 34430 Türkiye,İnternet sitesi","Fransız,Uluslararası","Fransız, Uluslararası",6,+90 212 244 45 08,28-305,5.0,"Öğle Yemeği, Akşam Yemeği",166.5,166.5
Fevkalade Meyhane,"Asmalimescit Mahhallesi Meşrutiyet Caddesi No 85 Beyoğlu, İstanbul 34400 Türkiye,İnternet sitesi","Türk,Yunan","Türk, Yunan",32,+90 530 827 21 07,120-210,5.0,"Akşam Yemeği, Gece Eğlencesi, İçecekler",165.0,165.0
Grasidi Meyhane,"Taskisla Caddesi No.1 Harbiye Mah, İstanbul 34367 Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Yunan","Akdeniz, Türk, Yunan",6,+90 212 368 12 34,48-280,5.0,Akşam Yemeği,164.0,164.0
